DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 120000,SUBJECT,0.00 ,6667200.00 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120050,SUBJECT,-297.62 ,6667377.34 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120140,SUBJECT,-595.25 ,6667554.68 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120230,SUBJECT,-892.90 ,6667732.02 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120320,SUBJECT,-1190.56 ,6667909.36 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120410,SUBJECT,-1488.23 ,6668086.70 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120500,SUBJECT,-1785.92 ,6668264.04 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120550,SUBJECT,-2083.63 ,6668441.38 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120640,SUBJECT,-2381.34 ,6668618.71 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120730,SUBJECT,-2679.08 ,6668796.05 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120820,SUBJECT,-2976.82 ,6668973.39 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120910,SUBJECT,-3274.59 ,6669150.73 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121000,SUBJECT,-3572.36 ,6669328.07 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121050,SUBJECT,-3870.15 ,6669505.41 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121140,SUBJECT,-4167.96 ,6669682.75 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121230,SUBJECT,-4465.78 ,6669860.09 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121320,SUBJECT,-4763.61 ,6670037.43 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121410,SUBJECT,-5061.46 ,6670214.77 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121500,SUBJECT,-5359.32 ,6670392.11 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121550,SUBJECT,-5657.20 ,6670569.45 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121640,SUBJECT,-5955.09 ,6670746.79 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121730,SUBJECT,-6252.99 ,6670924.13 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121820,SUBJECT,-6550.91 ,6671101.46 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121910,SUBJECT,-6848.85 ,6671278.80 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 122000,SUBJECT,-7146.79 ,6671456.14 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 122050,SUBJECT,-7444.76 ,6671633.48 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 122140,SUBJECT,-7742.73 ,6671810.82 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 122230,SUBJECT,-8040.73 ,6671988.16 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 122320,SUBJECT,-8338.73 ,6672165.50 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 122410,SUBJECT,-8636.75 ,6672342.84 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 122500,SUBJECT,-8934.79 ,6672520.18 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 122550,SUBJECT,-9232.84 ,6672697.52 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 122640,SUBJECT,-9530.90 ,6672874.86 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 122730,SUBJECT,-9828.98 ,6673052.20 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 122820,SUBJECT,-10127.07 ,6673229.54 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 122910,SUBJECT,-10425.18 ,6673406.88 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 123000,SUBJECT,-10723.30 ,6673584.22 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 123050,SUBJECT,-11021.43 ,6673761.55 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 123140,SUBJECT,-11319.58 ,6673938.89 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 123230,SUBJECT,-11617.75 ,6674116.23 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 123320,SUBJECT,-11915.93 ,6674293.57 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 123410,SUBJECT,-12214.12 ,6674470.91 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 123500,SUBJECT,-12512.33 ,6674648.25 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 123550,SUBJECT,-12810.55 ,6674825.59 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 123640,SUBJECT,-13108.79 ,6675002.93 ,-0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 123730,SUBJECT,-13291.85 ,6675212.31 ,-0.00 ,350.00 ,4.63 ,350.00 ,4.63 ,-0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 123820,SUBJECT,-13371.06 ,6675440.41 ,-0.00 ,350.17 ,4.63 ,350.17 ,4.63 ,-0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 123910,SUBJECT,-13450.27 ,6675668.52 ,-0.00 ,350.17 ,4.63 ,350.17 ,4.63 ,-0.00 ,100.00 ,subject route:leg two:Heading for target location
