DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 123000,SENSOR,241.67 ,6687972.49 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123050,SENSOR,180.56 ,6687915.82 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123140,SENSOR,119.44 ,6687859.14 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123230,SENSOR,58.33 ,6687802.47 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123320,SENSOR,-2.78 ,6687745.79 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123410,SENSOR,-63.89 ,6687689.12 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123500,SENSOR,-125.00 ,6687632.44 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123550,SENSOR,-186.11 ,6687575.77 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123640,SENSOR,-247.21 ,6687519.09 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123730,SENSOR,-308.32 ,6687462.42 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123820,SENSOR,-369.43 ,6687405.75 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123910,SENSOR,-430.53 ,6687349.07 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124000,SENSOR,-491.63 ,6687292.40 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124050,SENSOR,-552.73 ,6687235.72 ,-0.00 ,208.20 ,1.29 ,208.20 ,1.29 ,-0.00 ,100.00 ,sensor route:leg one:Heading for target location
