DTG,Track name, x (m), y (m), z (m), bearing (degs)
100112 130730,-2507.51 ,6685422.14 ,-0.00 ,-106.40 
100112 130820,-2568.58 ,6685365.46 ,-0.00 ,-104.15 
100112 130910,-2629.65 ,6685308.79 ,-0.00 ,-101.86 
100112 131000,-2690.72 ,6685252.11 ,-0.00 ,-99.53 
100112 131050,-2751.79 ,6685195.44 ,-0.00 ,-97.18 
100112 131140,-2812.85 ,6685138.76 ,-0.00 ,-94.80 
100112 131230,-2873.92 ,6685082.09 ,-0.00 ,-92.42 
100112 131320,-2934.98 ,6685025.41 ,-0.00 ,-90.04 
100112 131410,-2996.05 ,6684968.74 ,-0.00 ,-87.66 
100112 131500,-3057.11 ,6684912.07 ,-0.00 ,-85.30 
100112 131550,-3118.17 ,6684855.39 ,-0.00 ,-82.96 
100112 131640,-3179.24 ,6684798.72 ,-0.00 ,-80.65 
100112 131730,-3240.30 ,6684742.04 ,-0.00 ,-78.37 
100112 131820,-3301.36 ,6684685.37 ,-0.00 ,-76.14 
100112 131910,-3362.41 ,6684628.69 ,-0.00 ,-73.95 
100112 132000,-3423.47 ,6684572.02 ,-0.00 ,-71.82 
100112 132050,-3493.40 ,6684518.02 ,-0.00 ,-69.75 
100112 132140,-3579.79 ,6684470.30 ,-0.00 ,-67.76 
100112 132230,-3680.43 ,6684430.07 ,-0.00 ,-65.85 
100112 132320,-3792.70 ,6684398.37 ,-0.00 ,-64.03 
100112 132410,-3913.71 ,6684376.03 ,-0.00 ,-62.30 
100112 132500,-4040.36 ,6684363.62 ,-0.00 ,-60.66 
100112 132550,-4169.36 ,6684361.45 ,-0.00 ,-59.13 
100112 132640,-4297.40 ,6684369.59 ,-0.00 ,-57.70 
100112 132730,-4421.16 ,6684387.83 ,-0.00 ,-56.36 
100112 132820,-4537.47 ,6684415.69 ,-0.00 ,-55.13 
100112 132910,-4643.32 ,6684452.45 ,-0.00 ,-54.00 
100112 133000,-4735.97 ,6684497.17 ,-0.00 ,-52.97 
100112 133050,-4813.05 ,6684548.70 ,-0.00 ,-52.03 
100112 133140,-4872.56 ,6684605.70 ,-0.00 ,-51.18 
100112 133230,-4912.97 ,6684666.71 ,-0.00 ,-50.41 
100112 133320,-4933.46 ,6684730.14 ,-0.00 ,-49.71 
100112 133410,-4946.31 ,6684794.13 ,-0.00 ,-49.05 
100112 133500,-4959.15 ,6684858.11 ,-0.00 ,-48.41 
100112 133550,-4971.99 ,6684922.10 ,-0.00 ,-47.79 
100112 133640,-4984.84 ,6684986.09 ,-0.00 ,-47.19 
100112 133730,-4997.68 ,6685050.07 ,-0.00 ,-46.60 
100112 133820,-5010.53 ,6685114.06 ,-0.00 ,-46.03 
100112 133910,-5023.37 ,6685178.05 ,-0.00 ,-45.48 
100112 134000,-5036.22 ,6685242.04 ,-0.00 ,-44.94 
100112 134050,-5049.07 ,6685306.02 ,-0.00 ,-44.42 
100112 134140,-5061.91 ,6685370.01 ,-0.00 ,-44.25 
100112 134230,-5074.76 ,6685434.00 ,-0.00 ,-44.59 
100112 134320,-5087.60 ,6685497.98 ,-0.00 ,-44.94 
100112 134410,-5100.45 ,6685561.97 ,-0.00 ,-45.28 
100112 134500,-5113.30 ,6685625.96 ,-0.00 ,-45.61 
100112 134550,-5126.14 ,6685689.95 ,-0.00 ,-45.92 
100112 134640,-5138.99 ,6685753.93 ,-0.00 ,-46.23 
100112 134730,-5151.84 ,6685817.92 ,-0.00 ,-46.53 
100112 134820,-5164.69 ,6685881.91 ,-0.00 ,-46.81 
100112 134910,-5177.53 ,6685945.89 ,-0.00 ,-47.09 
100112 135000,-5190.38 ,6686009.88 ,-0.00 ,-47.36 
100112 135050,-5203.23 ,6686073.87 ,-0.00 ,-47.63 
100112 135140,-5216.08 ,6686137.86 ,-0.00 ,-47.88 
100112 135230,-5228.93 ,6686201.84 ,-0.00 ,-48.13 
100112 135320,-5241.78 ,6686265.83 ,-0.00 ,-48.37 
100112 135410,-5254.63 ,6686329.82 ,-0.00 ,-48.60 
100112 135500,-5267.48 ,6686393.80 ,-0.00 ,-48.83 
100112 135550,-5280.33 ,6686457.79 ,-0.00 ,-49.05 
100112 135640,-5293.18 ,6686521.78 ,-0.00 ,-49.27 
100112 135730,-5306.03 ,6686585.77 ,-0.00 ,-49.48 
100112 135820,-5318.88 ,6686649.75 ,-0.00 ,-49.68 
100112 135910,-5331.73 ,6686713.74 ,-0.00 ,-49.88 
100112 140000,-5344.58 ,6686777.73 ,-0.00 ,-50.07 
