DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 120000,SENSOR,-15000.00 ,2000.00 ,0.00 ,90.00 ,4.12 ,90.00 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120047,SENSOR,-14806.57 ,2000.00 ,0.00 ,90.00 ,4.12 ,90.00 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120134,SENSOR,-14613.14 ,2000.00 ,0.00 ,90.00 ,4.12 ,90.00 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120221,SENSOR,-14419.71 ,2000.00 ,0.00 ,90.00 ,4.12 ,90.00 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120308,SENSOR,-14226.28 ,2000.00 ,0.00 ,90.00 ,4.12 ,90.00 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120355,SENSOR,-14032.84 ,2000.00 ,0.00 ,90.00 ,4.12 ,90.00 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120442,SENSOR,-13839.41 ,2000.00 ,0.00 ,90.00 ,4.12 ,90.00 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120529,SENSOR,-13645.98 ,2000.00 ,0.00 ,90.00 ,4.12 ,90.00 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120616,SENSOR,-13452.55 ,2000.00 ,0.00 ,90.00 ,4.12 ,90.00 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120703,SENSOR,-13259.12 ,2000.00 ,0.00 ,90.00 ,4.12 ,90.00 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120750,SENSOR,-13065.69 ,2000.00 ,0.00 ,90.00 ,4.12 ,90.00 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120837,SENSOR,-12872.26 ,2000.00 ,0.00 ,90.00 ,4.12 ,90.00 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120924,SENSOR,-12678.83 ,2000.00 ,0.00 ,90.00 ,4.12 ,90.00 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121011,SENSOR,-12485.40 ,2000.00 ,0.00 ,90.00 ,4.12 ,90.00 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
